   113 -0.106600 0.046400 -0.060400 -0.017182 0.006565 -0.999831 -0.192121 -0.981366 -0.003214 -0.981221 0.192034 0.018123 -0.003895
   112 -0.106600 0.046400 -0.060400 -0.192121 -0.981366 -0.003214 0.017182 -0.006565 0.999831 -0.981221 0.192034 0.018123 -0.000658
   111 -0.106600 0.046400 -0.060400 -0.017182 0.006565 -0.999831 -0.192121 -0.981366 -0.003214 -0.981221 0.192034 0.018123 0.998252
   122 -0.102000 0.063100 -0.025600 0.007263 0.002887 -0.999969 -0.260570 -0.965443 -0.004688 -0.965428 0.260596 -0.006260 -0.002747
   123 -0.102000 0.063100 -0.025600 -0.260570 -0.965443 -0.004688 -0.007263 -0.002887 0.999969 -0.965428 0.260596 -0.006260 -0.004222
   121 -0.102000 0.063100 -0.025600 0.007263 0.002887 -0.999969 -0.260570 -0.965443 -0.004688 -0.965428 0.260596 -0.006260 1.001905
   132 -0.108500 0.030200 -0.026600 0.014080 0.001244 -0.999900 -0.088010 -0.996117 -0.002441 -0.996020 0.088035 -0.013916 -0.001166
   133 -0.108500 0.030200 -0.026600 -0.088010 -0.996117 -0.002441 -0.014080 -0.001244 0.999900 -0.996020 0.088035 -0.013916 -0.011912
   131 -0.108500 0.030200 -0.026600 0.014080 0.001244 -0.999900 -0.088010 -0.996117 -0.002441 -0.996020 0.088035 -0.013916 1.002610
   143 -0.109900 0.013100 -0.062700 -0.042710 0.002697 -0.999084 -0.037853 -0.999283 -0.001141 -0.998370 0.037770 0.042782 -0.002039
   142 -0.109900 0.013100 -0.062700 -0.037853 -0.999283 -0.001141 0.042710 -0.002697 0.999084 -0.998370 0.037770 0.042782 -0.001403
   141 -0.109900 0.013100 -0.062700 -0.042710 0.002697 -0.999084 -0.037853 -0.999283 -0.001141 -0.998370 0.037770 0.042782 0.994725
   213 -0.107400 0.032900 0.008000 -0.051446 0.007725 -0.998646 -0.102280 -0.994753 -0.002460 -0.993425 0.102016 0.051966 -0.005528
   212 -0.107400 0.032900 0.008000 -0.102280 -0.994753 -0.002460 0.051446 -0.007725 0.998646 -0.993425 0.102016 0.051966 0.002094
   211 -0.107400 0.032900 0.008000 -0.051446 0.007725 -0.998646 -0.102280 -0.994753 -0.002460 -0.993425 0.102016 0.051966 0.999492
   222 -0.098900 0.040300 0.041300 -0.338187 0.058981 -0.939229 -0.163205 -0.986587 -0.003176 -0.926818 0.152212 0.343277 -0.000713
   223 -0.098900 0.040300 0.041300 -0.163205 -0.986587 -0.003176 0.338187 -0.058981 0.939229 -0.926818 0.152212 0.343277 -0.003543
   221 -0.098900 0.040300 0.041300 -0.338187 0.058981 -0.939229 -0.163205 -0.986587 -0.003176 -0.926818 0.152212 0.343277 0.948473
   232 -0.101100 0.004400 0.040800 -0.341053 0.009223 -0.939999 0.039217 -0.998942 -0.024023 -0.939226 -0.045057 0.340331 -0.003529
   233 -0.101100 0.004400 0.040800 0.039217 -0.998942 -0.024023 0.341053 -0.009223 0.939999 -0.939226 -0.045057 0.340331 -0.005879
   231 -0.101100 0.004400 0.040800 -0.341053 0.009223 -0.939999 0.039217 -0.998942 -0.024023 -0.939226 -0.045057 0.340331 1.005219
   243 -0.108300 -0.001100 0.007100 -0.064486 -0.010171 -0.997867 0.083788 -0.996472 0.004781 -0.994395 -0.083300 0.065111 -0.007888
   242 -0.108300 -0.001100 0.007100 0.083788 -0.996472 0.004781 0.064486 0.010171 0.997867 -0.994395 -0.083300 0.065111 -0.003175
   241 -0.108300 -0.001100 0.007100 -0.064486 -0.010171 -0.997867 0.083788 -0.996472 0.004781 -0.994395 -0.083300 0.065111 1.007677
   313 -0.086100 0.098800 0.009000 -0.034664 0.117904 -0.992420 -0.484155 -0.870692 -0.086544 -0.874296 0.477485 0.087265 -0.005580
   312 -0.086100 0.098800 0.009000 -0.484155 -0.870692 -0.086544 0.034664 -0.117904 0.992420 -0.874296 0.477485 0.087265 0.000771
   311 -0.086100 0.098800 0.009000 -0.034664 0.117904 -0.992420 -0.484155 -0.870692 -0.086544 -0.874296 0.477485 0.087265 1.002056
   322 -0.088700 0.075700 0.041200 -0.342418 0.115179 -0.932461 -0.365309 -0.930688 0.019190 -0.865621 0.347207 0.360760 -0.004511
